연월일,과목,문제번호,문제내용,보기,선택지1,선택지2,선택지3,선택지4,선택지5,정답,해설
20250910,일반,1,다음 중 FATF에 대한 설명으로 바르지 않은 것은?,,"UN 협약 및 UNSCR과 관련된 금융조치의 이행을 위한 행동기구로서 G7정상회담의 합의로 설립되었다.","FATF는 자금세탁과 테러자금조달에 공동대응하기 위한 국제기준을 마련하고 각 국의 이행상황을 점검하고 있다.","FATF 운영위원회(Steering Group)은 각국의 이행상황을 점검하고 고위험_ 비협조 국가를 가려내는 역할을 하고 있다.","FATF의 최고 의사기구는 총회(Plenary)로 일반적으로 연 3회(2월_ 6월_ 10월) 개최된다.","FATF는 최초 마약자금만을 관할 범위로 하였지만_ 이후 중대범죄_ 테러자금조달_ 확산금융 등으로 관할 범위를 확대해 나가고 있다.","3","[FATF 조직 중 5개 working group의 하나인 ICRG가 고위험_ 비협조 국가를 가려내고 전략적 미비점을 지적하는 제재 역할을 담당하고 있다. 출제원 : 제도편 27~29페이지]"
20250910,일반,2,다음이 설명하는 용어는?,[IT 기술의 발달에 따라 디지털 자산이 자금세탁의 주요 통로가 되면서 FATF 는 이 분야에 대해 연구하고 관련된 가이던스를 제시하고 있다. 디지털 자산에 대한 다양한 용어로 인한 연구자 및 정책자의 혼선을 막고자 용어를 통일하여 정의하게 되었다.],Virtual Asset,Cryptocurrency,Visual Currency,Virtual Currency,Fiat Currency,1,[FATF는 Currency라는 용어가 Fiat currency(법정통화)와 혼선을 줄 가능성을 고려하여 Currency 라는 용어를 피하고 Virtual Asset이라는 용어로 통일하여 사용하고 있다. 출제원 : 제도편 191페이지]
20250910,일반,3,다음 중 특정금융정보법 시행령 17조(과태료부과기준) 및 별표상의 위반행위와 6_000만원을 기준으로 하여 감경 또는 가증한 과태료가 부과될 수 있다.,,STR 미보고 : 1_800만원,CTR 회피 분할 미보고 : 900만원,CDD의무(신규_ 일회성) 미수행 : 건당 1_800만원,CDD의무(의심고객) 미수행 : 3_600만원,내부통제 미비 : 6_000만원,4,[금융회사등이 법 제5조의2제1항제2호(의심고객)의 의무를 위반할 경우 6_000만원을 기준으로 하여 감경 또는 가증한 과태료가 부과될 수 있다. 출제원 : 제도편 265페이지]
20250910,일반,4,다음 <보기>가 설명하는 개념은?,[자금세탁에 대한 불법거래를 조장할 수 있으면서도 이를 차단할 수도 있는 이중적 잠재성을 가진 민간부문의 중개인],심층분석가,게이트키퍼,법집행전문가,전문중개인,위험예방전문가,2,[게이트키퍼의 잠재성을 활용하여 자금세탁방지의 효율성을 높일 수 있다. 출제원 : 제도편 236페이지]
20250910,일반,5,자금세탁은 다른 범죄와 구분되는 특징들을 갖고 있는데_ 다음 중 자금세탁 범죄의 특징이 아닌 것은?,,"자금세탁은 일반적으로 한 국가 내에서 이뤄지는 것이 아니라_ 해외송금_ 무역거래_ 전자지갑 등을 이용하여 2개 국가 이상을 넘나들며 이뤄진다.","금융회사뿐만 아니라_ 변호사_ 세무사 등 비금융 사업자들 또한 자금세탁 범죄에 노출되어 있다는 특성이 있다.","자금세탁은 자금의 실제소유자에 의해 직접적으로 단독으로 실행되는 케이스가 많기에 발견이 어렵다.","자금세탁은 그 범죄 자체뿐만 아니라 마약_ 인신매매_ 성매매 등 각종 중범죄와 연결되어 있다는 점에서 심각성을 갖는다.","자금세탁은 그 범죄 자체뿐만 아니라 마약_ 인신매매_ 성매매 등 각종 중범죄와 연결되어 있다는 점에서 심각성을 갖는다.","3","[자금세탁이 실제소유자에 의해 이뤄지는 경우는 드물고_ 범죄조직에 의해 이뤄지는 경우가 많다. 출제원 : 제도편 5~6페이지]"
20250910,일반,6,유럽연합의 암호자산시장에 관한 법률(MiCA)과 거리가 먼 것은?,,"암호자산을 크게 세가지로 구분하고 차등한 규제를 적용한다.","MiCA의 시장남용에 대한 규칙은 거래플랫폼에서 이뤄진 거래에만 적용된다.","MiCA는 VASP 용어 대신 CASP의 용어를 사용하고 있다.","MiCA는 암호자산서비스들이 EU AML Directive의 기준에 맞다면 [금융서비스]로 간주하도록 한다.","MiCA는 회원국 주무당국_ ESMA 및 EBA의 암호자산 시장에 대한 권한을 정하고 상호간의 협력도 규정하고 있다.","2","[거래_ 주문 등의 행위가 거래플랫폼에서 발생하였는지 여부와 관계없이 적용한다. 출제원 : 제도편 200페이지]"
20250910,일반,7,FATF권고사항 40의 핵심조치사항이 아닌 것은?,,"위험의 확인_ 정책개발과 국내적 조정(Coordination)의 수행","사기방지_ 반부패_ 포렌식을 통한 개인정보 추적","금융부문과 다른 지정된 분야를 위한 예방조치 적용","권한당국(법집행기관)과 조치기구들의 권한과 책임을 정립","국제협력의 추진","2","[2는 포함되지 않는다 출제원 : 제도편 31~55페이지]"
20250910,일반,8,FATF는 권고사항이 충분이 이행되었는지(Implemented) 뿐만 아니라 실질적으로 AML/CFT 제도의 이행을 하고 있는지_ 기대되는 성과(를 달성하고 있는지도 고려하고 있다. 이러한 효과성 평가를 표현하는 FATF의 용어는?,,"Immediate Outcome","Interpretative note","FATF Recommendation","Risk-based Approach","Mutual assessment","1","[효과성 평가로 번역되는 FATF의 Immediate Outcome은 총 11개로 권고사항을 이행하는 것 뿐만 아니라_ 실제로 성과를 달성하고 있는지 보여주는 것이다. 출제원 : 제도편 80페이지]"
20250910,일반,9,다음이 설명하고 있는 [이 범죄]는?,[이 범죄로 정립되지 않은 범죄는 불법자금세탁행위로 처벌할 수 없다. 1990년대 이전까지는 주로 마약류 범죄만을 이 범죄로 규정하였으나 점차 그 범죄의 범위가 확대되고 있다.],금융범죄(Financial offence),중대범죄(Serious offence),배치범죄(Placement offence),국제범죄(International offence),전제범죄(Predicate offence),5,[자금세탁행위가 되기 위해서는 전제범죄가 전제되어야 한다. 출제원 : 제도편 7페이지]
20250910,일반,10,유럽연합(EU) 제4차 AML Directives의 내용이 아닌 것은?,,"의심거래보고 현금기준을 10_000유로로 강화","범죄행위에 ‘직접 및 간접세와 관련된 조세범죄 포함’","익명계좌 유지와 통장보관을 금지하고 기존의 익명계좌 소유자 및 수익자에 대한 고객확인 실시","실제소유자의 중앙등록부서 관리","강화된 고객확인(EDD)의 면제조항 삭제","3","[익명계좌 유지 금지는 제3차 AML Directive에 적용되었다. 출제원 : 제도편 103~104페이지]"
20250910,일반,11,특정금융정보법 제10조는 수사_ 조사업무 등을 위해서 특정금융정보를 법집행기관에 제공할 수 있는 근거를 두고 있는데_ 다음 중 이러한 목적에 따른 법집행기관(기관장)에 포함되지 않는 것은?,,"검찰총장","외교부장관","행정안전부장관","고위공직자범죄수사처장","국세청장","2","[법집행기관은 검찰_ 행정안전부_ 고위공직자범죄수사처_ 국세청_ 관세청_ 중앙선거관리위원회_ 금융위원회_ 국가정보원이다. 출제원 : 제도편 157페이지]"
20250910,일반,12,FATF 권고사항 24의 핵심내용으로 가장 거리가 먼 것은?,,"권고 24는 법인의 자금세탁의 통로로 활용하는 것을 방지하고자 법인의 실제소유자 및 지배구조를 파악할 수 있게 하는 것을 골자로 한다.","각 국은 법인이 무기명 주식_ 무기명 주식증서의 발행을 금지하여야 하고 기 발행된 무기명주식이 자금세탁이나 테러자금조달에 활용되지 않도록 하여야 한다.","정부는 금융회사 및 DNFBP가 실제소유자 및 지배구조에 대한 정보에 접근할 수 있도록 하는 조치 마련을 고려해야 한다.","권고 24에서 말하는 법인은 해당 국가에서 설립된 법인만을 말하며_ 다른 나라에서 설립된 법인은 포함하지 않는다.","법인의 종류 및 형태_ 법인의 설립과 실제소유자 정보의 기록과 취득에 대한 절차에 대해 규정한 매커니즘을 구축해야 하고 이를 대중이 이용할 수 있도록 하여야 한다/","4","[R.24 주석서에서 다른 국가에서 설립되었더라도 해당 국가에 ML/TF 위험을 발생시키고 충분한 상관관계가 있을 경우 파악하도록 하고 있다. 출제원 : 제도편 45페이지]"
20250910,일반,13,다음 중 개별 금융업권과 검사수탁기관의 연결이 바르게 이뤄진 것은?,,"금융감독원장 - 농협은행_ 수협은행","관세청장 - 소액해외송금업자","문화체육관광부장관 - 카지노 사업자","행정안전부 장관 - 우체국","관세청장 – 한국수출입은행","1","[2) 소액해외송금업자 - 금융감독원장 3) 제주도 카지노 사업자 - 제주특별자치도지사 4) 우체국 - 과학기술정보통신부장관 5) 한국수출입은행 - 금융감독원장 출제원 : 제도편 260페이지]"
20250910,일반,14,다음 중 비엔나 협약(1988년)을 기준으로 1996년 우리나라에 제정된 자금세탁방지 관련 법률은?,,"마약류불법거래방지법","총포화약법","금융실명법","범죄수익은닉규제법","테러자금금지법","1","[비엔나협약을 기준으로 마약류불법거래방지법이 제정되었다. 출제원 : 제도편 8페이지]"
20250910,일반,15,다음 밑줄 친 부분이 설명하는 개념은?,[범죄수익 및 범죄수익에서 유래한 재산_ 범죄행위의 보수로 얻은 재산 등은 몰수할 수 있다. 만일 몰수할 수 있는 재산이 몰수대상재산과 [몰수대상 재산 외의 재산과 합쳐짐으로써 생긴 재산]일 경우에는 몰수대상재산의 금액 또는 수량에 상당하는 부분을 몰수할 수 있다.],혼합재산,혼화재산,합성재산,혼재재산,용해재산,2,[범죄수익은닉규제법 제8조(범죄수익등의 몰수)에서 혼화재산으로 표현하고 있다. 출제원 : 제도편 164페이지]
20250910,일반,16,다음 중 특정금융정보법 상 '금융회사등'에 포함되지 않는 것은?,,"수출입은행","상호저축은행","신용협동조합","카지노","회계법인","5","[특정금융정보법 2조의 정의에서 금융회사등의 범위를 나열하고 있으며_ 회계법인은 포함되지 않는다 출제원 : 제도편 146페이지]"
20250910,일반,17,다음 중 금융정보분석원이 결정하는 조치사항이 아닌 것은?,,"금융회사에 대해 시정명령","관계 행정기관 장에게 해당 금융회사의 (6개월 범위 내에서) 영업의 전부 또는 일부의 정지를 요구","기관에 대한 과태료","금융회사의 장에게 관련 임원의 해임권고 및 6개월 이내 직무정지 요구","관련된 금융회사 직원에 대한 직접 감봉_ 견책_ 주의 조치","5","[5는 해당 금융회사의 장에게 요구할 수 있다. 출제원 : 제도편 263페이지]"
20250910,일반,18,가상자산과 관련한 불공정거래행위 방지 등을 위해 새로 제정되어 2024년 7월부터 시행될 법률의 명칭은?,,"가상자산사업자에 대한 자본시장법","금융소비자보호법","특정 신기술 사업자에 대한 불공정행위 규제법","가상자산이용자보호법","가상자산사업자의 불공정행위 방지 등에 관한 법률","4","[새로 제정되어 발효될 법률의 명칭은 가상자산이용자보호법이다. 출제원 : 제도편 201페이지]"
20250910,일반,19,다음 중 유럽연합(EU)의 감독기관이 아닌 것은?,,"EBA","EIOPA","ESMA","ECB","ESCAP","5","[ESCAP은 아시아태평양 경제사회위원회이다. 출제원 : 제도편 126~130페이지]"
20250910,일반,20,2010년 World Bank가 제시한 AML법률 제도 요구사항이 아닌 것은?,,"자금세탁의 범죄화","테러와 테러자금조달의 범죄화","압수_ 몰수 및 권리의 상실","개인정보의 암호화","감독 및 규제","4","[개인정보의 암호화는 World Bank가 요구한 자금세탁 방지를 위한 8가지 법률제도 요구사항에 포함되어 있지 않다. 출제원 : 제도편 142페이지]"


20250918,일반,81,"다음 중 정기재이행에 대한 설명이다. ()에 알맞은 것을 고르시오. [금융회사등은 고객확인을 한 고객과 거래가 유지되는 동안 고객의 거래행위를 고려한 자금세탁행위등의 위험도에 따라 고객확인의 재이행 주기를 설정_ 운용하여야 한다. 재이행을 통하여 금융회사등은 해당 고객의 (①)정보의 업데이트 여부_ CDD (②)등급의 적정성 여부_ 고객의 거래활동과 고객이 제공한 정보의 (③)여부를 재점검하여야 한다.]","","①실명확인_ ②신용등급_ ③적합성","①실명확인_ ②위험(리스크)_ ③투자성","①고객확인_ ②(위험)리스크_ ③일치성","①고객확인_ ②투자성향등급_ ③리스크","①실명확인_ ②투자성향등급_ ③일치성",3,""
20250918,일반,82,"다음 문장의 ()안에 들어갈 알맞은 것을 고르시오. [고객확인제도란 금융회사등이 고객과 금융거래시 자신이 제공하는 ( ① ) 또는 서비스가 자금세탁 등의 불법행위에 이용되지 않도록 고객의 ( ② ) 및 검증_ ( ③ ) 및 실소유자 확인 등 고객에 대하여 합당한 주의를 기울이는 것을 의미한다.]","","① 금융상품_ ② 신원확인_ ③ 거래목적","② 금융상품_ ② 기본정보 확인_ ③ 법인관계인","③ 금융상품_ ② 추가정보확인_ ③법인관계인","④ 채널_ ② 기본정보확인_ ③ 투자목적","⑤ 채널_ ② 신원확인_ ③ 거래목적",1,"[고객확인제도란 금융회사등이 고객과 금융거래시 자신이 제공하는 (① 금융상품 ) 또는 서비스가 자금세탁 등의 불법행위에 이용되지 않도록 고객의 (② 신원확인) 및 검증_ (③ 거래목적) 및 실소유자 확인 등 고객에 대하여 합당한 주의를 기울이는 것을 의미한다.]"
20250918,일반,83,"다음 중 자금세탁방지업무 규정 상 반드시 필수 고위험고객 로 분류하여야 하는 대상이 아닌 것을 고르시오.","","주한 미국 대사","해당 금융회사에 수신 자산이 500억원 넘게 보유한 고액자산가","과거 3개월동안 STR 보고가 4번 이상 이루어졌고_ 현재 동일한 위험 신호 거래가 계속하여 추출되는 고객","대형 백화점에 입점한 유명 쥬얼리 판매회사 직원","최근 금융정보분석원에 가상자산 신고 수리를 득한 가상자산사업자",4,"[귀금속업자는 필수 고위험으로 분류하는 것이 맞지만_ 귀금속업자에서 근무를 하는 직원은 반드시 고위험으로 분류하여야 하는 것은 아님]"
20250918,일반,84,"다음은 여신금융전문에 대한 의심거래 참고유형에 대한 예시이다. 가장 알맞지 않은 것을 고르시오. (FIU STR 참고유형 기준)","","고령자나 미성년자의 과도한 카드 이용 거래","해외 ATM 기기에서 고액의 현금 인출 거래","반복적인 선결제 후 선결제 취소 거래","해외 가상자산거래소에서의 고액 카드 거래","원격지에서 이뤄지는 카드 결제",5,"[원격자에서 발생하였다고 하여 의심거래로 판단하지는 않음]"
20250918,일반,85,"홍길동은 A 금융회사에 계좌를 가지고 있는데_ CDD 정보에 따르면 무직이며 신용불량자인 것으로 확인된다. 지난 3개월동안 홍길동은 매일 5천만원 이상의 현금을 계좌에 입금한 후_ 다시 전액 인출하여 1십만원권 자기앞수표로 인출하는 거래를 지속하여_ 거래모니터링에서 홍길동에 대하여 매일 동일한 위험신호가 추출되었다. 이와 같이 동일고객에 대하여 반복되는 위험신호가 추출되는 경우 매 거래마다 보고하여야 하는지에 대한 규제당국의 입장에 대하여 가장 잘 설명한 것은?","","최초 위험신호에 대하여 의심거래로 보고하였다면_ 해당 거래는 보고가 된 것이므로 추가적인 보고를 할 필요는 없다.","최초 STR 보고가 진행된 후에는 동일한 위험신호에 대하여 최초 STR 보고에 대한 추가자료 제출을 통하여 보고하면 되고 별도의 STR을 보고할 필요는 없다.","특정금융정보법 제정시 불법재산으로 의심되는 금융거래를 보고하도록 규정하고 있어_ 동일한 거래 발생시마다 모든 위험신호를 STR로 보고하여야 한다.","동일고객에 대하여 동일 위험신호가 반복적으로 추출되는 경우 매건마다 STR로 보고할 경우_ 고객 거래 전반에 대한 종합적인 분석이 미흡하여 STR품질이 좋지 않은 보고가 이루어질 수 있으므로 동일 고객이 동일 유형 거래가 반복적으로 발생하는 경우 일정기간 거래를 종합적으로 판단하여 보고하는 것이 더 바람직하다.","동일고객에 대한 동일 위험신호의 경우 최초 STR에 대해서는 종합적인 분석을 작성하여 보고하여야 하지만_ 추가 거래에 대해서는 CTR로 보고하면 충분하다.",4,"[금융위원회 Q&A에 따르면 동일고객에 대하여 동일 위험신호가 반복적으로 추출되는 경우 매건마다 STR로 보고할 경우_ 고객 거래 전반에 대한 종합적인 분석이 미흡하여 STR품질이 좋지 않은 보고가 이루어질 수 있으므로 동일 고객이 동일 유형 거래가 반복적으로 발생하는 경우 일정기간 거래를 종합적으로 판단하여 보고하도록 요구하고 있다.]"
20250918,일반,86,"비영리 단체에 대한 다음 설명 중 가장 거리가 먼 것은?","","비영리 단체는 테러조직을 합법적인 단체로 가장하기 위한 수단으로 이용될 수 있다.","FATF 권고사항은 비영리단체를 보고주체로 지정하여 고객실사를 수행하도록 요구하거나 감독할 필요는 없음을 명시하고 있다.","FATF 권고사항 및 주석서에서 모든 비영리단체에 대해서 고위험을 적용하고 예방적 조치를 실시할 것을 권고하고 있다.","비영리단체가 TF에 활용되지 않기 위해서는 의 실제소유자_ 주요 주체 들에 대한 정보_ 비영리단체가 목적으로 하는 사업과 금융거래와의 관련성을 면밀히 살펴야 한다.","비영리단체와 테러조직은 서로 상이한 목표와 지향점을 갖고 있으나 인적_물적 자원조달 방법 면에서는 유사한 경우가 많다.",3,"[NPO에 대한 과도한 조치로 인해 NPO의 합법적인 활동 및 필요한 서비스 제공을 저해하여 NPO의 긍정적 기능이 위축된다는 문제제기가 있었으며_ NPO의 위범에 비례한 선별적인 체계적인 조치가 필요하다.]"
20250918,일반,87,"다음 개좌개설 사례는 금융회사등이 금융거래가 완료되기 전에 요주의인물 리스트 정보와의 비교를 통해 요주의 인물인지 확인하여야 하는 대상에 대한 예시이다. 요주의 인물 리스트 정보와 비교해야 하는 대상으로 가장 알맞은 것은? [㈜ABC는 김철수가 100%지분을 가지고 있으며_ 대표이사는 홍길동으로 확인되었음. ㈜ABC의 직원인 홍지인이 대리인 로 내점하여 계좌를 개설함]","","㈜ ABC","㈜ ABC와 홍지인","㈜ ABC 와 김철수_ 홍길동","김철수와 홍길동_ 홍지인","㈜ ABC_ 김철수와 홍길동_ 홍지인 모두",5,"[금융회사등이 금융거래가 완료되기 전에 요주의인물 리스트 정보와의 비교를 통해 당해 거래고객 및 관련인(대리인_ 실제소유자 및 법인·단체 고객의 경우 대표자 등을 포함함)이 요주의 인물인지 확인할 수 있는 절차를 수립_ 운영하여야 함]"
20250918,일반,88,"다음 금융거래 상황별 CTR(고액현금거래보고) 보고의무 주체와 보고 상대방에 대하여 잘못 기술한 것은?","","계좌거래를 하는 경우 계좌개설 금융회사가 계좌명의인에 대하여 CTR를 보고하여야 한다.","정액 자기앞수표 지급 거래의 경우 발행금융회사가 지급제시인에 대하여 CTR을 보고하여야 한다.","자동화기기 거래의 경우 계좌 보유 금융회사가 계좌명의인에 대하여 CTR을 보고하여야 한다.","대출실행거래의 경우 대출실행 금융회사가 대출차주에 대하여 CTR을 보고하여야 한다.","무통장방식 거래의 경우 송금 금융회사가 송금의뢰인에 대하여 CTR을 보고하여야 한다.",2,"[정액 자기앞수표 지급거래의 경우 2015년 1월 1일부터는 자기앞수표 지급 금융회사가 보고주체 금융회사임]"
20250918,일반,89,"다음은 고객확인제도의 고객확인 이행시기에 대한 설명이다. 옳지 않은 것을 고르시오.","","금융회사등은 고객이 계좌를 신규로 개설하기 전 또는 당해 금융거래가 완료되기 전까지 고객확인을 이행하는 것이 원칙이다.","종업원_ 학생등에 대한 일괄적인 계좌개설의 경우 거래당사자가 계좌개설 후 최초로 입금거래를 할 때 고객확인을 수행하면 된다.","상법 제639조에서 정하는 타인을 위한 보험의 경우 보험금_ 만기환급금_ 그 밖의 지급금액을 그에 관한 청구권자에게 지급하는 때 고객확인을 이행하면 된다.","7일동안 동일인 명의로 이루어지는 일회성 금융거래등의 합계액이 기준금액 이상인 경우_ 해당 거래 후 거래당사자가 최초로 금융거래등을 하는 때 고객확인을 이행하면 된다.","고객확인이 금융거래가 완료되기 전까지 이행하는 것이 원칙이나 금융거래의 성질 등으로 인하여 불가피한 경우 예외적으로 거래 이후에 이행하는 것을 허용하고 있다.",2,"[종업원_ 학생등에 대한 일괄적인 계좌개설의 경우 거래당사자가 계좌개설 후 최초로 금융거래등을 하는 때 고객확인을 수행하면 된다.]"
20250918,일반,90,"다음 중 위험관리수준평가(전사적위험평가)에 대한 규제당국의 주요 지적사항으로 옳지 않은 것은?","","해외자회사의 자금세탁방지 의무이행에 대한 면밀한 모니터링 절차가 없으며_ 위험기반접근법(RBA)에 따른 전사적 위험평가에서 해외자회사는 제외되어 있는 등 해외자회사의 자금세탁방지 의무이행에 대한 관리가 미흡함","고유위험 및 운영위험을 식별하고 평가하는 구체적인 방법 및 기준 등이 미흡하여 위험평가 업무가 불합리하게 운영되고 있고_ 전사위험 평가 결과를 주주 등에 대해 적절히 보고하고 있지 않음","내규에 의하면 위험기반접근법(RBA)에 따라 전사적 위험을 식별_ 분석_ 평가하기 위한 절차를 마련_운영하여야 하나_ 금융정보분석원 위험평가시스템의 지표보고 절차와 전사적위험평가절차를 구분하지 않고_ 자체 고유위험 등을 정기적으로 식별_ 평가하고 취약점을 개선하는 절차가 미흡하여 전사적 위험평가가 적절히 이루어지지 않을 우려가 있음","전사적인 자금세탁위험을 확인_ 평가하기 위해 RBA 시스템을 도입하였고_ 금융정보분석원에 금융회사 자신의 위험관리 수준 평가를 위한 자료를 제출하여 동 평가 결과를 확인하고도 회사의 자금세탁방지 위험 관리_ 경감을 하기 위한 정책 등을 수립하는 등_ 동 평가결과를 활용하지 않고 있음","위험평가 시스템에 위험평가지표 자료를 전산으로 입력하는 과정에서 입력자료에 대한 정확성 검증이 미흡함",2,"[주주에 보고할 의무는 없으며_ 대표이사 및 이사회에 대해 적절히 보고하고 있지 않다는 점이 지적됨]"
20250918,일반,91,"FATF 권고사항 23은 특정비금융사업자(DNFBPs)에 대한 AML법제 적용을 요구하고 있다. 다음 중 특정비금융사업자에 포함되지 않는 것은?","","벤처캐피탈","카지노","변호사","회계사","공인중개사",1,"[벤처캐피탈은 포함되지 않는다.]"
20250918,일반,92,"다음 중 금융회사가 수행하는 요주의 인물 필터링(WLF)에 대한 설명이다. 옳은 것을 모두 고르시오.","가) 금융회사등은 금융거래가 완료된 후 요주의 인물 리스트 검색(필터링)을 수행하여야 한다. 나) 요주의 인물 필터링은 최초 거래 시에만 수행하면 된다. 다) 현재 한국인 중 미국의 제재대상자인 SDN에 등재된 개인은 존재하지 않는다. 라) 요주의 인물 검색은 원칙적으로 유사이름일치 엔진(Fuzzy Logic Engine) 검색을 통하여 수행하는 것이 일반적이다. 마) 일반적으로 금융회사등은 요주의명단을 제공하는 밴더를 통하여 요주의명단을 지속적으로 업데이트 한다.","다_ 마","라_ 마","다_ 라","가_ 마","나_ 마",2,"[금융회사등은 금융거래가 완료되기 전에 요주의 인물 리스트 정보와의 비교를 통해 요주의 인물인지 확인할 수 있는 절차를 수립_ 운영하여야 한다]"
